Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Complex crisis in Mali,MLI001,Mali,Buildings damaged,x,,x,x,,No data available,MLI001Buildings damaged,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Buildings destroyed,1,Complex crisis in Mali,Low,3,MLI001,Complex crisis in Mali,MLI001Buildings destroyed,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Crisis affected groups,5,,Medium,2,,"IDPs, refugees, returnees, host and non-host are all affected by the complex crisis",MLI001Crisis affected groups,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Economic Losses,x,,x,x,,No data available,MLI001Economic Losses,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing limited access constraints,x,,x,x,,No data available,MLI001People facing limited access constraints,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing restricted access constraints,x,,x,x,,No data available,MLI001People facing restricted access constraints,2019-01-24,Humanitarian development
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,Buildings damaged,0,,Medium,2,,,NIC001Buildings damaged,2019-01-24,Humanitarian development
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,Buildings destroyed,0,,Medium,2,,,NIC001Buildings destroyed,2019-01-24,Humanitarian development
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,Economic Losses,1214,FUNIDES 11/11/2018,Medium,2,http://funides.com/media/attachment/nota_prensa_segundo_monitoreo_actividades_economicas.pdf,"Economic losses as of October 2018. The number is now most likely higher, but FUNIDES stopped providing updates",NIC001Economic Losses,2019-01-24,Humanitarian development
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,People facing limited access constraints,0,,,0,,,NIC001People facing limited access constraints,2019-01-24,Humanitarian development
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,People facing restricted access constraints,0,,,0,,,NIC001People facing restricted access constraints,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings damaged,0,,Medium,2,,,SEN002Buildings damaged,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings destroyed,0,,Medium,2,,,SEN002Buildings destroyed,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Crisis affected groups,4,,High,1,,"IDPs, refugees, host and non-host",SEN002Crisis affected groups,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Economic Losses,x,,Low,3,,"No recent number reflecting agricultural losses, or the impact of the drought on smallholder agricutlure and transhumance patterns disrupting rural economies",SEN002Economic Losses,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Fatalities in all crises,0,,Medium,2,,,SEN002Fatalities in all crises,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Fatalities reported,0,,Medium,2,,,SEN002Fatalities reported,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Illness cases reported,0,,Medium,2,,,SEN002Illness cases reported,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Injuries reported,0,,Medium,2,,,SEN002Injuries reported,2019-01-24,Humanitarian development
Complex crisis in Haiti,HTI001,Haiti,Economic Losses,x,,x,x,,,HTI001Economic Losses,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings damaged,x,,x,x,,,PRK001Buildings damaged,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings destroyed,x,,x,x,,,PRK001Buildings destroyed,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Crisis affected groups,1,,Medium,2,,Country population,PRK001Crisis affected groups,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Economic Losses,x,,x,x,,,PRK001Economic Losses,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Illness cases reported,x,,x,x,,,PRK001Illness cases reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Injuries reported,x,,x,x,,,PRK001Injuries reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing limited access constraints,x,,x,x,,,PRK001People facing limited access constraints,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing restricted access constraints,x,,x,x,,,PRK001People facing restricted access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings damaged,x,,x,x,,,YEM001Buildings damaged,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings destroyed,x,,x,x,,,YEM001Buildings destroyed,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Crisis affected groups,5,,High,1,,All groups are affected,YEM001Crisis affected groups,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Economic Losses,x,,x,x,,,YEM001Economic Losses,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing limited access constraints,x,,x,x,,,YEM001People facing limited access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing restricted access constraints,x,,x,x,,,YEM001People facing restricted access constraints,2019-01-28,Humanitarian development
